"","species_CAZ","species_wgt_CAZ","species_wgt_CAZ_KBA","species_RAN","species_area_CAZ","species_area_wgt_CAZ","species_area_wgt_CAZ_KBA","species_area_RAN"
"species_CAZ",1,0.252354458707612,0.077787288679649,0.0269402319357716,0.604793045697424,0.244498777506112,0.0752662342861718,0.0261556093212785
"species_wgt_CAZ",-,1,0.0642085523361771,0.0256854109920322,0.241861326256673,0.213038100696854,0.0623648541743579,0.0237048705505729
"species_wgt_CAZ_KBA",-,-,1,0.0250591497697611,0.079417444480206,0.0722361474054717,0.965219512195122,0.0259988286521861
"species_RAN",-,-,-,1,0.0265272286698125,0.0265240477892372,0.0250101770812131,0.0250591497697611
"species_area_CAZ",-,-,-,-,1,0.299664602683179,0.0805158591843848,0.0250019075717883
"species_area_wgt_CAZ",-,-,-,-,-,1,0.0760440029904945,0.0245328587771705
"species_area_wgt_CAZ_KBA",-,-,-,-,-,-,1,0.0257062865869178
"species_area_RAN",-,-,-,-,-,-,-,1
